,time,theta,psi
1,1.66666666666667000000E-02,4.12498891645673000000E-07,1.00000000793936000000E-04
2,3.33333333333333000000E-02,8.24997783291347000000E-07,1.00000001587872000000E-04
3,5.00000000000000000000E-02,1.23749667493702000000E-06,1.00000002381808000000E-04
4,6.66666666666667000000E-02,1.64999556658269000000E-06,1.00000003175743000000E-04
5,8.33333333333333000000E-02,2.06249445822837000000E-06,1.00000003969679000000E-04
6,1.00000000000000000000E-01,2.54627062575222000000E-06,1.00000005731379000000E-04
7,1.16666666666667000000E-01,3.84832978052343000000E-06,1.00000018603275000000E-04
8,1.33333333333333000000E-01,5.15038893529464000000E-06,1.00000031475172000000E-04
9,1.50000000000000000000E-01,6.45244809006585000000E-06,1.00000044347068000000E-04
10,1.66666666666667000000E-01,7.75450724483707000000E-06,1.00000057218965000000E-04
11,1.83333333333333000000E-01,9.05656639960828000000E-06,1.00000070090861000000E-04
12,2.00000000000000000000E-01,1.05252180328022000000E-05,1.00000090967449000000E-04
13,2.16666666666667000000E-01,1.28668374775399000000E-05,1.00000153789737000000E-04
14,2.33333333333333000000E-01,1.52084569222776000000E-05,1.00000216612024000000E-04
15,2.50000000000000000000E-01,1.75500763670152000000E-05,1.00000279434312000000E-04
16,2.66666666666667000000E-01,1.98916958117529000000E-05,1.00000342256599000000E-04
17,2.83333333333333000000E-01,2.22333152564905000000E-05,1.00000405078887000000E-04
18,3.00000000000000000000E-01,2.48779172113294000000E-05,1.00000499963253000000E-04
19,3.16666666666667000000E-01,2.84799720414929000000E-05,1.00000696166767000000E-04
20,3.33333333333333000000E-01,3.20820268716563000000E-05,1.00000892370281000000E-04
21,3.50000000000000000000E-01,3.56840817018197000000E-05,1.00001088573796000000E-04
22,3.66666666666667000000E-01,3.92861365319832000000E-05,1.00001284777310000000E-04
23,3.83333333333333000000E-01,4.28881913621466000000E-05,1.00001480980824000000E-04
24,4.00000000000000000000E-01,4.69858467854200000000E-05,1.00001768726360000000E-04
25,4.16666666666667000000E-01,5.21342099829054000000E-05,1.00002250547360000000E-04
26,4.33333333333333000000E-01,5.72825731803908000000E-05,1.00002732368359000000E-04
27,4.50000000000000000000E-01,6.24309363778762000000E-05,1.00003214189359000000E-04
28,4.66666666666667000000E-01,6.75792995753617000000E-05,1.00003696010358000000E-04
29,4.83333333333333000000E-01,7.27276627728471000000E-05,1.00004177831357000000E-04
30,5.00000000000000000000E-01,7.94221722983098000000E-05,1.00005102621730000000E-04
31,5.16666666666667000000E-01,8.65358728844604000000E-05,1.00006147509922000000E-04
32,5.33333333333333000000E-01,9.36495734706109000000E-05,1.00007192398114000000E-04
33,5.50000000000000000000E-01,1.00763274056761000000E-04,1.00008237286306000000E-04
34,5.66666666666667000000E-01,1.07876974642912000000E-04,1.00009282174498000000E-04
35,5.83333333333333000000E-01,1.15650666354674000000E-04,1.00010603953060000000E-04
36,6.00000000000000000000E-01,1.25373955663526000000E-04,1.00012743658988000000E-04
37,6.16666666666667000000E-01,1.35097244972378000000E-04,1.00014883364915000000E-04
38,6.33333333333333000000E-01,1.44820534281230000000E-04,1.00017023070842000000E-04
39,6.50000000000000000000E-01,1.54543823590082000000E-04,1.00019162776769000000E-04
40,6.66666666666667000000E-01,1.64267112898933000000E-04,1.00021302482697000000E-04
41,6.83333333333333000000E-01,1.76493742898198000000E-04,1.00024939293527000000E-04
42,7.00000000000000000000E-01,1.89698186763043000000E-04,1.00029160878911000000E-04
43,7.16666666666667000000E-01,2.02902630627888000000E-04,1.00033382464294000000E-04
44,7.33333333333333000000E-01,2.16107074492733000000E-04,1.00037604049677000000E-04
45,7.50000000000000000000E-01,2.29311518357578000000E-04,1.00041825635061000000E-04
46,7.66666666666667000000E-01,2.43360678797113000000E-04,1.00046751991829000000E-04
47,7.83333333333333000000E-01,2.61123412262347000000E-04,1.00054776689608000000E-04
48,8.00000000000000000000E-01,2.78886145727582000000E-04,1.00062801387387000000E-04
49,8.16666666666667000000E-01,2.96648879192816000000E-04,1.00070826085165000000E-04
50,8.33333333333333000000E-01,3.14411612658050000000E-04,1.00078850782944000000E-04
51,8.50000000000000000000E-01,3.32174346123284000000E-04,1.00086875480723000000E-04
52,8.66666666666667000000E-01,3.54882248348659000000E-04,1.00100574726987000000E-04
53,8.83333333333333000000E-01,3.78582975592577000000E-04,1.00115413233402000000E-04
54,9.00000000000000000000E-01,4.02283702836495000000E-04,1.00130251739817000000E-04
55,9.16666666666667000000E-01,4.25984430080413000000E-04,1.00145090246232000000E-04
56,9.33333333333333000000E-01,4.49685157324331000000E-04,1.00159928752647000000E-04
57,9.50000000000000000000E-01,4.77196466150545000000E-04,1.00180687373873000000E-04
58,9.66666666666667000000E-01,5.08831141878274000000E-04,1.00207852052794000000E-04
59,9.83333333333333000000E-01,5.40465817606003000000E-04,1.00235016731716000000E-04
60,1.00000000000000000000E+00,5.72100493333733000000E-04,1.00262181410637000000E-04
61,1.01666666666667000000E+00,6.03735169061462000000E-04,1.00289346089558000000E-04
62,1.03333333333333000000E+00,6.36723830542206000000E-04,1.00319349043663000000E-04
63,1.05000000000000000000E+00,6.78955141896750000000E-04,1.00368726783441000000E-04
64,1.06666666666667000000E+00,7.21186453251293000000E-04,1.00418104523220000000E-04
65,1.08333333333333000000E+00,7.63417764605837000000E-04,1.00467482262998000000E-04
66,1.10000000000000000000E+00,8.05649075960381000000E-04,1.00516860002777000000E-04
67,1.11666666666667000000E+00,8.47880387314924000000E-04,1.00566237742555000000E-04
68,1.13333333333333000000E+00,9.01094706223837000000E-04,1.00646654157263000000E-04
69,1.15000000000000000000E+00,9.57492852021936000000E-04,1.00736068268398000000E-04
70,1.16666666666667000000E+00,1.01389099782003000000E-03,1.00825482379534000000E-04
71,1.18333333333333000000E+00,1.07028914361813000000E-03,1.00914896490670000000E-04
72,1.20000000000000000000E+00,1.12668728941623000000E-03,1.01004310601806000000E-04
73,1.21666666666667000000E+00,1.19038139593259000000E-03,1.01121526165470000000E-04
74,1.23333333333333000000E+00,1.26561111848589000000E-03,1.01282698501109000000E-04
75,1.25000000000000000000E+00,1.34084084103918000000E-03,1.01443870836749000000E-04
76,1.26666666666667000000E+00,1.41607056359248000000E-03,1.01605043172388000000E-04
77,1.28333333333333000000E+00,1.49130028614577000000E-03,1.01766215508027000000E-04
78,1.30000000000000000000E+00,1.56653000869907000000E-03,1.01927387843667000000E-04
79,1.31666666666667000000E+00,1.66700565837226000000E-03,1.02217333747877000000E-04
80,1.33333333333333000000E+00,1.76749134577612000000E-03,1.02507330852202000000E-04
81,1.35000000000000000000E+00,1.86797703317998000000E-03,1.02797327956528000000E-04
82,1.36666666666667000000E+00,1.96846272058383000000E-03,1.03087325060854000000E-04
83,1.38333333333333000000E+00,2.06894840798769000000E-03,1.03377322165179000000E-04
84,1.40000000000000000000E+00,2.19013656711339000000E-03,1.03808717999174000000E-04
85,1.41666666666667000000E+00,2.32446238003088000000E-03,1.04329844546581000000E-04
86,1.43333333333333000000E+00,2.45878819294837000000E-03,1.04850971093988000000E-04
87,1.45000000000000000000E+00,2.59311400586585000000E-03,1.05372097641395000000E-04
88,1.46666666666667000000E+00,2.72743981878334000000E-03,1.05893224188802000000E-04
89,1.48333333333333000000E+00,2.87189767639719000000E-03,1.06507138286579000000E-04
90,1.50000000000000000000E+00,3.05146730828856000000E-03,1.07442600070142000000E-04
91,1.51666666666667000000E+00,3.23103694017993000000E-03,1.08378061853705000000E-04
92,1.53333333333333000000E+00,3.41060657207130000000E-03,1.09313523637267000000E-04
93,1.55000000000000000000E+00,3.59017620396267000000E-03,1.10248985420830000000E-04
94,1.56666666666667000000E+00,3.76974583585404000000E-03,1.11184447204392000000E-04
95,1.58333333333333000000E+00,3.99886244255586000000E-03,1.12729314650788000000E-04
96,1.60000000000000000000E+00,4.23852645860429000000E-03,1.14403910521747000000E-04
97,1.61666666666667000000E+00,4.47819047465272000000E-03,1.16078506392706000000E-04
98,1.63333333333333000000E+00,4.71785449070114000000E-03,1.17753102263665000000E-04
99,1.65000000000000000000E+00,4.95751850674957000000E-03,1.19427698134624000000E-04
100,1.66666666666667000000E+00,5.23148316341626000000E-03,1.21665325642543000000E-04
101,1.68333333333333000000E+00,5.55184913079265000000E-03,1.24664612567167000000E-04
102,1.70000000000000000000E+00,5.87221509816902000000E-03,1.27663899491791000000E-04
103,1.71666666666667000000E+00,6.19258106554540000000E-03,1.30663186416416000000E-04
104,1.73333333333333000000E+00,6.51294703292179000000E-03,1.33662473341040000000E-04
105,1.75000000000000000000E+00,6.83608205494710000000E-03,1.36722498019661000000E-04
106,1.76666666666667000000E+00,7.26473519662488000000E-03,1.42097007028186000000E-04
107,1.78333333333333000000E+00,7.69338833830266000000E-03,1.47471516036712000000E-04
108,1.80000000000000000000E+00,8.12204147998043000000E-03,1.52846025045238000000E-04
109,1.81666666666667000000E+00,8.55069462165820000000E-03,1.58220534053764000000E-04
110,1.83333333333333000000E+00,8.97934776333598000000E-03,1.63595043062289000000E-04
111,1.85000000000000000000E+00,9.49873217930200000000E-03,1.71633919580521000000E-04
112,1.86666666666667000000E+00,1.00722970459964000000E-02,1.81263831094286000000E-04
113,1.88333333333333000000E+00,1.06458619126908000000E-02,1.90893742608052000000E-04
114,1.90000000000000000000E+00,1.12194267793852000000E-02,2.00523654121817000000E-04
115,1.91666666666667000000E+00,1.17929916460797000000E-02,2.10153565635583000000E-04
